AMJ_2015_2025_meta
input,final_url,title,authors,doi,source,date,keywords,abstract,note
https://doi.org/10.5465/amj.2023.1010,https://journals.aom.org/doi/abs/10.5465/amj.2023.1010?journalCode=amj,Catalyzing Categories: Category Contrast and the Creation of Groundbreaking Inventions,Gianluca Carnabuci; Balázs Kovács,10.5465/amj.2023.1010,https://doi.org/10.5465/amj.2023.1010,2025-08-05,,"We hypothesize that “low-contrast categories” (those lacking sharp differentiation from adjacent categories) catalyze the creation of groundbreaking inventions by influencing two key stages in the life of an invention: (1) idea-creation and (2) idea-positioning. During “idea-creation,” low-contrast categories increase the likelihood that descendant inventions will combine the focal invention with more (a) boundary-spanning, (b) novel, (c) original, and (d) atypical knowledge inputs. During “idea-positioning,” they allow greater leeway in articulating how descendant inventions depart from the focal invention’s lineage and chart new technological directions. We find robust support for our hypothesis using data from the United States Patent and Trademark Office’s classification system spanning nearly four decades. Further analyses demonstrate that the catalyzing effect of low-contrast categories has important material consequences: inventions classified in low-contrast categories spur descendant inventions that generate substantially higher economic value and exert more enduring technological impact than those in high-contrast categories. By introducing the concept of catalyzing categories, this study offers a novel theoretical perspective on the genesis of groundbreaking inventions and the role of categorical structures in the inventive process.",ok
https://doi.org/10.5465/amj.2016.1319,https://journals.aom.org/doi/10.5465/amj.2016.1319,Across the Great Divides: Gender Dynamics Influence How Intercultural Conflict Helps or Hurts Creative Collaboration,Roy Chua; Mengzi Jin,10.5465/amj.2016.1319,https://doi.org/10.5465/amj.2016.1319,2020-06-29,conflict management; creativity; cross-cultural management; diversity; gender,"Collaborating across cultures can potentially increase creativity owing to access to diverse ideas and perspectives, but this benefit is not always realized. One reason for this is that the conflict that arises in intercultural creative collaboration is a double-edged sword, and so how it is managed matters. In this research, we examine how the gender of collaborating dyads influences the link between intercultural conflict (task and relationship) and creative collaboration effectiveness. Through two studies (a laboratory study and a field survey), we found that intercultural task conflict has a negative effect on creative collaboration in men dyads but a positive effect on creative collaboration in women dyads. Conversely, intercultural relationship conflict has a negative impact on creative collaboration in general, but this effect is stronger for women dyads than for men dyads. These effects can be traced to how men versus women dyads handled intercultural conflict. There is also evidence that information elaboration (exchange, discussion, and integration of task-relevant information and ideas) mediates the effects of dyad gender and intercultural conflict on creative collaboration. These findings extend current understanding of when and how intercultural collaborations can result in creativity benefits from a gender and conflict management perspective.",ok
https://doi.org/10.5465/amj.2020.1740,https://journals.aom.org/doi/abs/10.5465/amj.2020.1740?journalCode=amj,The Policy–People Gap: Decision-Makers Choose Policies That Favor Different Applicants than They Select When Making Individual Decisions,David M. Munguia Gomez; Emma E. Levine,10.5465/amj.2020.1740,https://doi.org/10.5465/amj.2020.1740,2022-06-30,,"This work documents a contemporary organizational problem—a gap between selection policies and individual selection decisions—and suggests one intervention to address it. In college admissions and workplace hiring contexts, we find that decision-makers are more likely to favor disadvantaged applicants over applicants with objectively higher achievements when choosing between selection policies than choosing between individual applicants. We document this policy–people gap among admissions officers, working professionals, and lay people using both within-subject and between-subject designs and across a range of stimuli. We find that the gap is driven in part by shifting standards of fairness across the two types of decisions. When choosing between individuals, compared to choosing between policies, decision-makers are more likely to prioritize what is fair to individuals (a microjustice standard of fairness) over what is fair in the aggregate (a macrojustice standard of fairness). As a result, an intervention that has decision-makers prioritize the same standard of fairness across the decisions mitigates the policy–people gap. This research helps us understand why decision-makers’ choices so frequently violate espoused organizational policies and suggests one way to increase the representation of disadvantaged groups in organizations.",ok
https://doi.org/10.5465/amj.2021.0676,https://journals.aom.org/doi/abs/10.5465/amj.2021.0676?journalCode=amj,Bridge Supervision: Correlates of a Boss on the Far Side of a Structural Hole,Ronald S. Burt; Song Wang,10.5465/amj.2021.0676,https://doi.org/10.5465/amj.2021.0676,2022-12-15,,"“Bridge supervision” occurs when the connection between manager and boss is a network bridge between separate social worlds. Improved communication technology has facilitated the use of bridge supervision, so manager and boss can easily interact by audio or onscreen as a pair of people disconnected from surrounding colleagues—but at what cost to the manager, or to effective management? We argue that bridge supervision affects the way in which managers play their role, but not how well the role is played. We find clear support for the argument in a traditional corporate hierarchy. Managers operating under bridge supervision exclude the boss from their work discussions and are conservative in expressing emotion. Behavioral correlates notwithstanding, compensation and good ideas have their familiar association with network brokerage independent of bridge versus embedded supervision. In sum, bridge supervision affects manager style, but not performance. We conclude this paper by discussing the implications of our findings for future research.",ok
https://doi.org/10.5465/amj.2016.0860,https://journals.aom.org/doi/10.5465/amj.2016.0860,"Gender, Brokerage, and Performance: A Construal Approach",Raina A. Brands; Ajay Mehra,10.5465/amj.2016.0860,https://doi.org/10.5465/amj.2016.0860,2019-02-13,lab experiment; managerial and organization cognition; network analysis; survey,"We present a new theory that seeks to explain differences in the performance of men and women friendship network brokers—individuals who bridge disconnected friends. In contrast to previous audience-centered explanations, our phenomenological theory emphasizes how brokers construe (i.e., perceive and interpret) their networks. We contend that when women perceive themselves as brokers in friendship networks they experience threat, rooted in negative stereotypes about women brokers, which undermines their performance. Using data from a cohort of MBA students, Study 1 finds that women (but not men) exhibit lower performance when they perceive themselves as brokers in small-group friendship networks. Using data from a larger group of MBA students, Study 2 replicates this finding and rules out the possibility that underlying differences in the propensity to connect those whom one bridges may explain the observed gender-based difference in broker performance. Using an experimental design, Study 3 finds that elevated anxiety about task performance and negative social evaluations mediate the relationship between brokerage and performance for women but not for men. Women and men differ in how they psychologically construe brokerage in friendship networks, and this difference helps to account for gender differences in the performance of network brokers.",ok
https://doi.org/10.5465/amj.2016.0445,https://journals.aom.org/doi/10.5465/amj.2016.0445,"Capability Reputation, Character Reputation, and Exchange Partners’ Reactions to Adverse Events",Brian Park; Michelle Rogan,10.5465/amj.2016.0445,https://doi.org/10.5465/amj.2016.0445,2019-04-18,accidents; adverse events; capability reputation; character reputation; exchange networks; exchange partners; gas pipelines; inter-organizational relationships; organizational reputation; sensemaking,"To investigate when a firm’s reputation affects its exchange partners’ responses to adverse events, we distinguish between two types of reputation identified in prior work, capability reputation and character reputation, and present arguments for differences in their effects on exchange with potential and current exchange partners. Building on theory regarding uncertainty in exchange, we propose that potential exchange partners pay more attention to a firm’s capability reputation than its character reputation in the wake of adverse events. Thus, capability reputation has a buffering effect on relationship formation. In contrast, current exchange partners attend more to the firm’s character reputation than its capability reputation following adverse events. Hence, they are less likely to dissolve their relationships with organizations with high character reputations. Furthermore, we propose that the buffering effects of capability reputation and character reputation will be significantly reduced when the adverse events are caused by factors within the firm’s control. We find support for our arguments in an analysis of interstate gas transmission pipeline accidents in the United States from 2004 to 2013.",ok
https://doi.org/10.5465/amj.2014.0409,https://journals.aom.org/doi/10.5465/amj.2014.0409,I Just Can’t Control Myself: A Self-Regulation Perspective on the Abuse of Deviant Employees,Mary B. Mawritz; Rebecca L. Greenbaum; Marcus M. Butts; Katrina A. Graham,10.5465/amj.2014.0409,https://doi.org/10.5465/amj.2014.0409,2016-08-01,abusive supervision; bottom-line mentality; performance; self-regulation; social exchange; subordinate deviance,"Drawing on self-regulation theory, we contribute to the abusive supervision literature by testing supervisors’ self-regulation impairment as a key mediator of the relationship between subordinate deviance and abusive supervision. Further, given that the process underlying the relationship between subordinate deviance and abusive supervision may be explained by social exchange theory, we examine the differential strength of supervisor self-regulation impairment versus social exchange as mediating mechanisms. We also explore the moderating effects of subordinate performance and supervisor bottom-line mentality (i.e., a one-dimensional frame of mind that revolves around securing bottom-line outcomes to the neglect of competing priorities) on the relationship between subordinate deviance and supervisor self-regulation impairment. We found that supervisor self-regulation impairment mediated the relationship between subordinate deviance and abusive supervision, and the indirect effect was stronger in the presence of high subordinate performance and high supervisor bottom-line mentality. We then replicated these findings in a longitudinal field study across four time periods, and demonstrated that self-regulation impairment provides a stronger explanation for the relationship between subordinate deviance and abusive supervision than social exchange. The theoretical and practical implications of our research are discussed.",ok
https://doi.org/10.5465/amj.2019.0746,https://journals.aom.org/doi/abs/10.5465/amj.2019.0746?journalCode=amj,Longing for the Road Not Taken: The Affective and Behavioral Consequences of Forgone Identity Dwelling,Rachel Burgess; Jason A. Colquitt; Erin C. Long,10.5465/amj.2019.0746,https://doi.org/10.5465/amj.2019.0746,2022-02-16,,"The literature on identity construction has argued that employees work to create coherent and distinctive identities that encapsulate individual characteristics and professional and organizational memberships. Models of identity construction have suggested that a past career decision—choosing one professional “road” while leaving behind a “road not taken”—should lose its salience over time. We challenged that consensus by introducing the construct of forgone identity dwelling—thinking about and reflecting on a professional path that could have been. Our field and experimental studies showed that employees did dwell on forgone professional identities, even when the decision events that resulted in them were years in the past. Drawing on cognitive-motivational-relational theory, we showed that forgone identity dwelling resulted in longing—a yearning for something missing. Such longing created a “double-edged sword” for the behavioral consequences of forgone identity dwelling. On the one hand, longing was associated with increased withdrawal behavior and decreased helping behavior because employees were distracted from the here and now. On the other hand, longing was associated with job crafting that in turn reduced those reactions—particularly for employees with an internal locus of control. We discuss the implications of our work for models of identity construction.",ok
https://doi.org/10.5465/amj.2013.1091,https://journals.aom.org/doi/10.5465/amj.2013.1091,Third Party Employment Branding: Human Capital Inflows and Outflows Following “Best Places to Work” Certifications,Brian R. Dineen; David G. Allen,10.5465/amj.2013.1091,https://doi.org/10.5465/amj.2013.1091,2015-07-14,applicant pool quality; best places to work; employment branding; signaling; turnover,"“Best Places to Work” (BPTW) and similar competitions are a proliferating form of third party employment branding. Little is known, however, about how single or repeated third party employment branding occurrences relate to key human capital outcomes. Extending signaling theory by considering signal credibility and comparability, we use archival and survey data from 624 BPTW participants in 16 competitions across a three-year period to develop and test hypotheses linking BPTW certifications to collective turnover rates and key informant perceptions of applicant pool quality. We find that certifications are associated with lower turnover rates, and in addition, propose competing crystallization and celebrity hypotheses that model turnover trajectories with repeated certifications, finding diminishing marginal turnover reductions across multiple certifications. We also examine company size and industry job opening moderators, finding that as certifications increase, applicant pool quality is: (1) higher in smaller companies, and (2) higher when job openings are scarcer. Finally, beyond being certified or not, we find supplemental evidence for effects of the specific certification level achieved (e.g., 2nd versus 15th). This investigation advances theory related to collective turnover, applicant pool quality, and employment branding, and is relevant to company decisions about seeking or re-seeking third party certifications.",ok
https://doi.org/10.5465/amj.2015.0765,https://journals.aom.org/doi/10.5465/amj.2015.0765,Masters of Disasters? An Empirical Analysis of How Societies Benefit from Corporate Disaster Aid,Luis Ballesteros; Michael Useem; Tyler Wry,10.5465/amj.2015.0765,https://doi.org/10.5465/amj.2015.0765,2017-01-27,,"Corporations are increasingly influential within societies worldwide, while the relative capacity of national governments to meet large social needs has waned. Consequentially, firms face social pressures to adopt responsibilities that have traditionally fallen to governments, aid agencies, and other types of organizations. There are questions, though, about whether this is beneficial for society. We study this in the context of disaster relief and recovery, in which companies account for a growing share of aid, as compared to traditional providers. Drawing on the dynamic capabilities literature, we argue that firms are more able than other types of organizations to sense areas of need following a disaster, seize response opportunities, and reconfigure resources for fast, effective relief efforts. As such, we predict that, while traditional aid providers remain important for disaster recovery, relief will arrive faster and nations will recover more fully when locally active firms account for a larger share of disaster aid. We test our predictions with a proprietary data set comprising information on every natural disaster and reported aid donation worldwide from 2003 to 2013. Using a novel, quasi-experimental technique known as the “synthetic control method,” our analysis shows that nations benefit greatly from corporate involvement when disaster strikes.",ok
https://doi.org/10.5465/amj.2014.0050,https://journals.aom.org/doi/10.5465/amj.2014.0050,Dealing with Failure: Serial Entrepreneurs and the Costs of Changing Industries Between Ventures,J. P. Eggers; Lin Song,10.5465/amj.2014.0050,https://doi.org/10.5465/amj.2014.0050,2014-10-20,attribution; behavioral strategy; industry experience; learning from failure; serial entrepreneurship,"As part of the recent interest in serial entrepreneurship, studies have investigated the presence (or absence) of learning benefits from a previous to a subsequent venture. We extend this literature by integrating behavioral concepts on attribution and learning from failure that highlight the differences in behavioral responses to success versus failure. We theorize that serial entrepreneurs whose previous venture failed are likely to blame the external environment and change industries for their subsequent venture, and that this industry change is costly in that it invalidates potentially useful industry experience, thereby hindering their subsequent venture. In contrast, founders of failed ventures are unlikely to change aspects of their previous business (when starting their subsequent venture) that would be attributable to their leadership—that is, strategy, decision-making, and planning style. Using data on entrepreneurs in China and the U.S., we find support for our theory. The results have important implications for the study of serial entrepreneurship, and more broadly for research on behavioral responses to failure.",ok
https://doi.org/10.5465/amj.2013.0870,https://journals.aom.org/doi/10.5465/amj.2013.0870,Maintaining the Values of a Profession: Institutional Work and Moral Emotions in the Emergency Department,April L. Wright; Raymond F. Zammuto; Peter W. Liesch,10.5465/amj.2013.0870,https://doi.org/10.5465/amj.2013.0870,2015-11-30,health care; hospitals; institutional maintenance; institutional values; institutional work; moral emotions; normative pillar; organizational practices; professional values; professions; qualitative methods; specialization; values; values work,"Specialization within professions creates challenges for maintaining the macro-level values of the profession in the everyday work of specialists at the micro level inside organizations. By conducting a qualitative study of emergency-department physicians and their interactions with other hospital specialists, we show how specialists maintain professional values through two distinct processes of institutional work in which moral emotions—that is, emotions linked to the interests of others—play a key role. The first process is activated when a perceived episodic problem, which arises from value conflicts in interactions between different specialists, elicits transitory moral emotions that motivate institutional maintenance work through individual action. The second process is activated when a perceived systemic problem, which arises from conflict between professional values writ large and organizational practices, elicits moral emotions that are enduring and shared across specialists. These emotions mobilize collective action in institutional maintenance work that changes the organizational practice. By focusing on values as a source of conflict and a motive for professional action inside organizations, our model contributes a nuanced understanding to the everyday work of professionals and specialists and draws attention to emotion elicitors and emotional scope as affective mechanisms in processes of institutional work.",ok
